date,open,high,low,close,volume,rsi,macd,ma,label
2018-03-19,8189.0,8705.23,8088.4,8600.0,462654338.9821279,44.14381204037573,-546.8884104583449,9833.663666666667,1
2018-03-20,8595.01,9050.0,8280.0,8909.98,387879393.4706143,47.25973805853961,-504.6019493495114,9784.548666666667,1
2018-03-21,8909.96,9177.01,8750.6,8885.0,358157473.3612324,47.032043246888385,-467.7137880893206,9708.948666666667,0
2018-03-22,8884.82,9100.0,8465.1,8722.9,354804129.3433086,45.50007691968445,-446.41378951692604,9626.345666666668,0
2018-03-23,8720.0,8909.0,8269.0,8898.03,340755592.544531,47.490102944974716,-410.66793548423084,9575.02666666667,1
2018-03-24,8898.04,8999.95,8491.0,8546.86,313254829.9051367,44.01916973371901,-405.9955092707605,9532.887333333338,0
2018-03-25,8531.25,8669.85,8365.77,8470.15,247023172.30795503,43.27512215643914,-403.82736327136627,9477.524333333338,0
2018-03-26,8470.14,8514.89,7831.0,8134.23,358429758.8731952,40.080220296193595,-424.32368918897737,9425.515000000005,0
2018-03-27,8134.22,8215.94,7730.0,7795.51,297609656.4404365,37.10549344530499,-462.56686545845514,9365.69866666667,0
2018-03-28,7795.51,8109.0,7728.0,7949.3,209186093.1831796,39.308015527662185,-474.9899025304567,9286.542000000005,1
2018-03-29,7949.3,7975.0,6941.11,7090.14,405591158.6323181,32.46752329984421,-547.8470409483452,9170.578666666672,0
2018-03-30,7090.16,7292.43,6600.1,6840.23,450352009.170998,30.789114667665796,-618.621413886025,9054.361000000004,0
2018-03-31,6840.24,7223.36,6777.0,6923.91,258341534.47236213,32.05567090675014,-660.346276855591,8921.158000000003,1
2018-04-01,6922.0,7049.98,6430.0,6813.01,297470498.81956285,31.239742456237103,-694.3581065114568,8780.29166666667,0
2018-04-02,6813.01,7125.0,6765.0,7056.0,224322159.41331607,35.13553299023684,-693.7088208399946,8633.342333333338,1
2018-04-03,7063.97,7520.0,7011.01,7405.21,277080072.7617128,40.36483232159279,-657.4373996348322,8496.349333333337,1
2018-04-04,7405.21,7427.52,6707.0,6796.1,297443582.7461225,35.0560664449279,-670.1174268999066,8341.086000000003,0
2018-04-05,6796.1,6902.0,6566.69,6770.76,263446941.1321242,34.85071504044699,-674.436679863712,8209.562000000004,0
2018-04-06,6770.0,6850.0,6500.0,6601.39,182139799.80865908,33.44069791580637,-683.6458190249423,8099.275000000004,0
2018-04-07,6601.39,7070.0,6586.28,6895.8,222323863.54144785,38.12684292809437,-659.5844229942832,8020.080333333336,1
2018-04-08,6895.81,7109.13,6880.0,7018.0,149967346.66269,40.01464108594107,-623.468122138418,7946.447000000003,1
2018-04-09,7011.04,7185.0,6611.0,6782.72,234309953.7503344,37.63380291528292,-606.8356001329576,7880.197000000003,0
2018-04-10,6781.55,6890.0,6656.0,6843.9,151417844.2663968,38.655901724656005,-582.008460668475,7790.541333333336,1
2018-04-11,6839.56,6990.0,6787.0,6953.79,165264003.41270605,40.54083427830843,-547.1582692285701,7717.956333333336,1
2018-04-12,6953.78,8012.23,6743.2,7923.0,485176252.48933566,53.973815279787,-436.3026688784621,7677.056333333337,1
2018-04-13,7922.99,8233.39,7732.0,7877.41,439884522.7119489,53.36311078402747,-348.11468947164303,7667.303333333336,0
2018-04-14,7877.48,8186.0,7810.0,7999.01,252868761.32061628,54.831143587353125,-265.35413934411645,7659.23766666667,1
2018-04-15,8004.0,8429.54,7999.02,8355.0,230287099.58430216,58.90908434023396,-169.09121101805795,7662.404333333337,1
2018-04-16,8355.07,8419.0,7867.0,8064.92,295817536.4749528,54.5845788575752,-114.88485736068469,7670.408333333337,0
2018-04-17,8064.92,8173.7,7825.4,7885.02,258221765.57371348,52.03343618878565,-85.45725996689362,7660.242666666671,0
2018-04-18,7890.96,8236.43,7868.0,8173.0,217649160.1101789,55.609998454181564,-38.454814601765975,7646.009333333337,1
2018-04-19,8173.99,8296.0,8080.0,8278.0,222675105.7884542,56.87267286838671,7.184762987457361,7624.943333333337,1
2018-04-20,8273.84,8930.0,8177.09,8856.98,337288580.42571294,63.104784424389806,89.04682790223433,7624.009333333337,1
2018-04-21,8852.12,9035.0,8565.0,8915.31,358915978.10403395,63.67430537030974,156.8221000958374,7630.423000000004,1
2018-04-22,8915.31,9020.67,8727.68,8787.02,261804372.9093471,61.42838547670608,197.90127802420648,7626.72266666667,0
2018-04-23,8785.7,8985.0,8745.0,8934.01,229754640.59668773,63.03708853087322,239.5562319222263,7639.627666666671,1
2018-04-24,8934.0,9731.01,8922.0,9619.99,431210048.0625035,69.44234396855651,324.1839452962049,7677.955666666671,1
2018-04-25,9618.96,9759.82,8730.0,8869.99,745137762.9688668,57.6746865311596,326.9642455715857,7702.481000000003,0
2018-04-26,8869.99,9307.48,8651.62,9266.0,385046648.1378661,61.39468154523168,357.006996550057,7751.497333333336,1
2018-04-27,9267.03,9395.0,8889.0,8915.35,342805674.55176014,56.647102049817576,348.5042288374625,7783.699000000004,0
2018-04-28,8915.35,9427.48,8870.0,9348.0,321653866.2001887,60.686619026400166,372.3843483921264,7858.961000000004,1
2018-04-29,9348.0,9570.51,9163.74,9419.0,357004895.9636862,61.32350940579676,392.51396515555643,7944.920000000003,1
2018-04-30,9417.04,9458.64,9124.99,9246.01,325019389.2499412,58.82305354675541,390.0121667205731,8022.323333333336,0
2018-05-01,9246.01,9248.99,8800.49,9071.48,368688349.6216845,56.327612531219096,369.68486405247495,8097.60566666667,0
2018-05-02,9071.48,9268.0,8970.2,9247.84,238421833.7581133,58.254787323803036,363.61458573356686,8170.667000000003,1
2018-05-03,9247.81,9844.0,9168.4,9750.0,366028365.2271445,63.23023067843629,394.7732612873169,8248.82666666667,1
2018-05-04,9750.0,9830.04,9520.85,9713.99,277565997.63316435,62.65354857887333,411.81389585179386,8346.08966666667,0
2018-05-05,9714.0,10020.0,9682.0,9864.0,246807563.50646487,64.12155219005203,432.4383942045697,8449.197666666669,1
2018-05-06,9863.99,9970.0,9417.03,9659.01,267359420.30359012,60.6151928581143,427.3166377093985,8551.118333333336,0
2018-05-07,9661.02,9689.67,9181.0,9365.0,316015961.44182944,55.89420095274418,394.9803710797405,8633.425000000003,0
2018-05-08,9365.0,9475.7,9060.54,9187.56,236418155.68693516,53.20113628111663,350.98973060260323,8705.743666666669,0
2018-05-09,9178.0,9390.0,8965.0,9310.0,235736782.28825977,54.818821657468405,322.2915395666405,8789.986333333336,1
2018-05-10,9310.0,9395.12,8970.0,9002.2,231595002.59561664,50.12780063414859,271.58051764881566,8861.929666666669,0
2018-05-11,9002.21,9016.8,8341.0,8400.0,418859806.4816156,42.47040771250857,180.71597890808516,8910.136666666669,0
2018-05-12,8405.94,8646.88,8153.0,8465.94,337899865.8601308,43.48837299862454,112.7265428131177,8928.234666666669,1
2018-05-13,8475.44,8763.36,8298.0,8679.71,219455683.08035555,46.77635038012799,75.22671062688278,8954.978000000003,1
