date,open,high,low,close,volume,fng,fundrate,inflation
2018-03-24,8898.04,8999.95,8491.0,8546.86,313254829.9051367,32,1.68,1.913793103448276
2018-03-25,8531.25,8669.85,8365.77,8470.15,247023172.30795503,30,1.68,1.9241379310344828
2018-03-26,8470.14,8514.89,7831.0,8134.23,358429758.8731952,31,1.68,1.9344827586206896
2018-03-27,8134.22,8215.94,7730.0,7795.51,297609656.4404365,24,1.68,1.9448275862068969
2018-03-28,7795.51,8109.0,7728.0,7949.3,209186093.18317956,24,1.68,1.9551724137931037
2018-03-29,7949.3,7975.0,6941.11,7090.14,405591158.6323181,18,1.68,1.9655172413793105
2018-03-30,7090.16,7292.43,6600.1,6840.23,450352009.170998,12,1.67,1.9758620689655173
2018-03-31,6840.24,7223.36,6777.0,6923.91,258341534.47236213,16,1.67,1.986206896551724
2018-04-01,6922.0,7049.98,6430.0,6813.01,297470498.81956285,16,1.67,1.9965517241379311
2018-04-02,6813.01,7125.0,6765.0,7056.0,224322159.41331607,11,1.68,2.006896551724138
2018-04-03,7063.97,7520.0,7011.01,7405.21,277080072.7617128,22,1.69,2.0172413793103448
2018-04-04,7405.21,7427.52,6707.0,6796.1,297443582.7461225,22,1.69,2.027586206896552
2018-04-05,6796.1,6902.0,6566.69,6770.76,263446941.1321242,17,1.69,2.037931034482759
2018-04-06,6770.0,6850.0,6500.0,6601.39,182139799.80865908,19,1.69,2.048275862068966
2018-04-07,6601.39,7070.0,6586.28,6895.8,222323863.54144785,20,1.69,2.0586206896551724
2018-04-08,6895.81,7109.13,6880.0,7018.0,149967346.66269,17,1.69,2.0689655172413794
2018-04-09,7011.04,7185.0,6611.0,6782.72,234309953.7503344,21,1.69,2.0793103448275865
2018-04-10,6781.55,6890.0,6656.0,6843.9,151417844.2663968,18,1.69,2.089655172413793
2018-04-11,6839.56,6990.0,6787.0,6953.79,165264003.41270605,20,1.69,2.1
2018-04-12,6953.78,8012.23,6743.2,7923.0,485176252.48933566,18,1.69,2.1
2018-04-13,7922.99,8233.39,7732.0,7877.41,439884522.7119489,23,1.69,2.1
2018-04-17,8064.92,8173.7,7825.4,7885.02,258221765.57371348,26,1.69,2.1
2018-04-18,7890.96,8236.43,7868.0,8173.0,217649160.11017892,24,1.69,2.1
