,Average AUC,Best AUC,Average Return,Average Accuracy,Lost Money Count,Best Return,Worst Return,Best Accuracy,Worst Accuracy,Return Range,Accuracy Range,Average Precision,Average Recall,Average F1
240,0.5528985507246377,0.5978260869565217,929.4707710417163,0.43478260869565216,4.0,1123.2655064140813,729.0776126978877,0.45652173913043476,0.391304347826087,,,0.4301704014939308,0.5130434782608696,0.4597186467494997
241,0.4771739130434782,0.5471014492753623,1062.0517437688045,0.5391304347826086,2.0,1341.0760653997634,818.078412743718,0.5652173913043478,0.5,,,0.5269951474430757,0.7478260869565218,0.6012885154061623
242,0.5858695652173914,0.657608695652174,870.1279471862244,0.4521739130434782,3.0,1213.4146559590083,637.8847481545627,0.5217391304347826,0.391304347826087,,,0.3648834498834499,0.30434782608695654,0.3063520280777846
243,0.5949275362318841,0.6594202898550724,651.1777299338905,0.42608695652173906,5.0,744.4156662941995,579.6544485856424,0.5,0.34782608695652173,,,0.41980921304053853,0.3478260869565218,0.3342647253585469
244,0.5311594202898551,0.5760869565217391,946.6448571296435,0.49565217391304345,3.0,1145.6972975755511,659.5436339870488,0.5217391304347826,0.4782608695652174,,,0.5045475795826427,0.4695652173913043,0.4200485072646007
245,0.4641304347826086,0.5489130434782609,1259.6518576119038,0.5608695652173913,0.0,1418.9154754001918,1158.6558745372722,0.6086956521739131,0.5,,,0.5749231965461554,0.7304347826086957,0.5954232573587414
246,0.511231884057971,0.625,912.7167924020252,0.5565217391304348,4.0,1084.9269570285949,807.1015502758521,0.6304347826086957,0.5,,,0.6687980030721967,0.3652173913043478,0.40819357819357827
247,0.5257246376811594,0.6467391304347826,999.4569745150791,0.508695652173913,2.0,1175.8392544707003,755.8816834438948,0.5652173913043478,0.43478260869565216,,,0.5000523663132359,0.5739130434782609,0.5146893850372111
248,0.5347826086956522,0.6322463768115942,842.7328997446482,0.5260869565217391,4.0,1123.5597894607322,684.0718993980764,0.5869565217391305,0.45652173913043476,,,0.502,0.48695652173913045,0.4582173669678009
249,0.4036231884057971,0.5380434782608696,989.8461054524054,0.4695652173913043,3.0,1289.5238689418047,788.6052252760925,0.5217391304347826,0.43478260869565216,,,0.45897813897813905,0.5565217391304348,0.46961647552102603
250,0.39021739130434774,0.41666666666666663,956.8031110315906,0.5521739130434783,3.0,1199.1134454208016,788.5145697098828,0.5869565217391305,0.5217391304347826,,,0.5974853801169591,0.34782608695652173,0.42745526779182413
251,0.436231884057971,0.4891304347826087,905.2204894764551,0.5130434782608695,4.0,1256.561528520838,751.0545996333476,0.5652173913043478,0.4782608695652174,,,0.5714480286738352,0.3478260869565218,0.3718152218152218
252,0.3826086956521739,0.4420289855072464,962.2934961795794,0.5347826086956522,4.0,1185.6341331355054,779.7828621622856,0.5869565217391305,0.5,,,0.5433333333333333,0.3565217391304348,0.3806020125558697
253,0.43695652173913035,0.5670289855072463,1040.9634302958639,0.49565217391304345,2.0,1314.0081281342932,865.9477878019036,0.5652173913043478,0.43478260869565216,,,0.5079365079365079,0.4434782608695652,0.42801010000320405
254,0.4913043478260869,0.6467391304347826,1029.1615697305695,0.48260869565217385,2.0,1140.7264077568768,927.4144992456219,0.5217391304347826,0.45652173913043476,,,0.46796223100570933,0.40869565217391307,0.3929591401778102
255,0.5800724637681158,0.6195652173913043,939.4425093607306,0.4956521739130434,3.0,1123.6770785530775,827.429596548794,0.5652173913043478,0.43478260869565216,,,0.4616029900332226,0.5391304347826087,0.4724113325098546
256,0.464855072463768,0.5326086956521738,984.9691947968322,0.5608695652173913,3.0,1280.459964977071,720.8365311307299,0.6086956521739131,0.5217391304347826,,,0.5498890595664789,0.4608695652173913,0.4742520081056666
257,0.3902173913043478,0.43297101449275366,1060.9185121721541,0.49565217391304345,2.0,1395.1039228887714,809.8239457360528,0.5217391304347826,0.45652173913043476,,,0.4897974493623406,0.6,0.4928507042989299
258,0.5619565217391305,0.6775362318840579,942.003074173234,0.5217391304347826,3.0,1315.423393451834,651.0239072963543,0.6304347826086957,0.43478260869565216,,,0.5019393939393939,0.43478260869565216,0.4463235294117647
259,0.5826086956521739,0.6485507246376812,1123.9108365896896,0.48695652173913045,1.0,1434.08757966546,842.0772962571493,0.5434782608695652,0.43478260869565216,,,0.47891660096532884,0.5565217391304348,0.5042843745935507
260,0.5304347826086957,0.5688405797101449,999.8755360513845,0.4739130434782609,3.0,1165.6170757106415,864.8374230733365,0.5217391304347826,0.43478260869565216,,,0.413445091493872,0.4,0.38024547803617564
261,0.4514492753623188,0.5235507246376812,853.3397301902135,0.4869565217391304,4.0,1127.7322162717003,631.098862347009,0.5652173913043478,0.391304347826087,,,0.4545454545454546,0.2782608695652174,0.2715686274509804
262,0.6,0.6539855072463768,986.6419584386946,0.4739130434782609,2.0,1091.4232875087177,733.6660412612819,0.5217391304347826,0.391304347826087,,,0.4465845446333251,0.5391304347826087,0.47647655301776454
263,0.5666666666666668,0.6286231884057971,853.5762750290293,0.45652173913043476,4.0,1072.7266300393921,700.9751904794897,0.5,0.3695652173913043,,,0.4209945677687613,0.5043478260869565,0.4413712151527278
264,0.533695652173913,0.6105072463768116,940.0845880946479,0.4826086956521739,3.0,1135.5134623737213,678.8774754454564,0.5869565217391305,0.391304347826087,,,0.46784954233409615,0.5565217391304348,0.5010875582008868
265,0.44855072463768114,0.5253623188405797,1124.6385296937715,0.5608695652173913,1.0,1411.9913856811834,747.2548570417005,0.6521739130434783,0.4782608695652174,,,0.6429692470837752,0.6521739130434783,0.5297303428045841
266,0.4510869565217391,0.5307971014492753,757.4235101661178,0.4869565217391304,5.0,828.760063771893,693.9455347522157,0.5217391304347826,0.43478260869565216,,,0.5103896103896104,0.19130434782608696,0.23901591984756285
267,0.5463768115942028,0.5960144927536233,829.1282633628774,0.5391304347826087,4.0,1277.028703026115,701.5454756379713,0.5869565217391305,0.4782608695652174,,,0.5045635371493494,0.4434782608695652,0.45359181880921007
268,0.5315217391304348,0.605072463768116,862.0274201593156,0.4826086956521739,4.0,1090.0717277219794,660.7030657293041,0.5434782608695652,0.45652173913043476,,,0.44782668573547324,0.5565217391304348,0.47346497691325273
269,0.43731884057971016,0.4909420289855072,972.9193965490631,0.5,3.0,1163.3739994938578,848.9390430317445,0.5652173913043478,0.41304347826086957,,,0.58343669250646,0.6260869565217391,0.51215286993652
