,Average AUC,Best AUC,Average Return,Average Accuracy,Lost Money Count,Best Return,Worst Return,Best Accuracy,Worst Accuracy,Return Range,Accuracy Range,Average Return NOTH,Average Accuracy NOTH,Average Precision,Average Recall,Average F1
0,0.5211050724637681,0.5801630434782609,743.1945497742402,0.5053763440860215,4.0,1052.5680387201478,500.32470580636647,0.5376344086021505,0.46236559139784944,,,846.6606954587712,0.5096774193548387,0.3792507492507492,0.32173913043478264,0.32186327888687233
1,0.5054347826086957,0.5656702898550724,1174.6593036354864,0.4989247311827957,0.0,1398.5241575072373,1018.6029674657108,0.5591397849462365,0.46236559139784944,,,821.3868525505189,0.5096774193548387,0.4933984829447625,0.7000000000000001,0.5726216916512482
2,0.5673007246376812,0.6168478260869565,1000.6717245178419,0.5440860215053763,3.0,1456.0224622652167,711.8545160251631,0.5806451612903226,0.4946236559139785,,,749.0867182632898,0.5612903225806452,0.551144546887581,0.5434782608695652,0.5180841844934696
3,0.49347826086956526,0.6077898550724637,603.9784936208644,0.4924731182795699,5.0,922.4804566526412,458.50018189264813,0.5376344086021505,0.46236559139784944,,,684.7004046824537,0.5096774193548387,0.3280808080808081,0.1956521739130435,0.20447519693421334
4,0.5144927536231882,0.5711050724637681,614.2100360891169,0.5032258064516129,5.0,970.1686919651249,447.3589783249785,0.5376344086021505,0.43010752688172044,,,562.1679129237168,0.4924731182795699,0.4791940412528647,0.29130434782608694,0.3448801490906754
5,0.5623188405797102,0.5942028985507246,610.0952858612237,0.5290322580645161,5.0,785.7033578523868,533.5355061498193,0.5376344086021505,0.5161290322580645,,,998.4226348048336,0.5268817204301075,0.5340909090909091,0.08695652173913042,0.13262527233115468
6,0.568659420289855,0.6245471014492753,785.6430258358153,0.5311827956989247,3.0,1161.137119457964,485.56937110340186,0.5913978494623656,0.4731182795698925,,,1150.5482852721454,0.5763440860215053,0.48888888888888893,0.21304347826086958,0.27792801152814894
7,0.5485507246376813,0.592391304347826,634.2685437651022,0.5182795698924731,5.0,984.7763948174833,533.5355061498193,0.5268817204301075,0.5053763440860215,,,560.2160220214944,0.5247311827956989,0.5142857142857142,0.13043478260869565,0.14916031045095676
8,0.5611413043478259,0.5991847826086956,616.5680331647475,0.5247311827956989,5.0,985.8902509369485,482.89246912317554,0.5913978494623656,0.5053763440860215,,,717.7583294225517,0.5268817204301075,0.3919521024784182,0.1869565217391304,0.23248910476100965
9,0.5684782608695652,0.610054347826087,715.123653304012,0.5354838709677419,4.0,1237.3070825312172,549.8110300578777,0.5591397849462365,0.5268817204301075,,,912.6269525038703,0.5419354838709677,0.7501165501165501,0.16956521739130434,0.19789481302039297
10,0.5123188405797101,0.572463768115942,798.8969871100701,0.5096774193548387,5.0,972.9834496101506,686.1057955465054,0.5591397849462365,0.4731182795698925,,,1050.0039310286522,0.5096774193548387,0.5360802737041944,0.4391304347826087,0.4333838224062837
11,0.5320652173913044,0.590126811594203,795.3191018214679,0.5075268817204301,4.0,1085.2238388767198,489.25871103463845,0.5591397849462365,0.45161290322580644,,,927.4245439241206,0.5225806451612903,0.43814102564102564,0.2956521739130435,0.3222225852051341
12,0.5713768115942031,0.6032608695652174,826.1446710538472,0.5268817204301075,4.0,1222.5652640517778,629.2736743591648,0.5698924731182796,0.5053763440860215,,,666.0976405978688,0.5311827956989247,0.5220197044334975,0.4217391304347826,0.45009291538570917
13,0.5930253623188406,0.6281702898550725,1081.6910843860753,0.5698924731182796,3.0,1413.7074508503363,778.4342238000435,0.5913978494623656,0.5376344086021505,,,816.138330914686,0.5526881720430107,0.5918957590362467,0.4695652173913043,0.5023548253590946
14,0.5769927536231885,0.6213768115942029,752.5488439623557,0.5225806451612903,4.0,1306.2100548147196,533.5355061498193,0.5376344086021505,0.5053763440860215,,,701.5637681069246,0.5376344086021505,0.470464135021097,0.30869565217391304,0.2699755102040816
15,0.5779891304347826,0.6186594202898551,984.4526672178179,0.5505376344086022,3.0,1679.005056857953,645.7455889367591,0.6021505376344086,0.5053763440860215,,,1076.556093592566,0.5655913978494623,0.557290049309833,0.5695652173913044,0.5380653339652978
16,0.5017210144927536,0.5679347826086957,768.006385163483,0.5268817204301075,4.0,1252.786008225938,533.5355061498193,0.5698924731182796,0.4731182795698925,,,872.8532709323135,0.5032258064516129,0.46135854341736693,0.2739130434782609,0.30734038054968293
17,0.551177536231884,0.6041666666666667,702.1032292957464,0.5225806451612903,5.0,976.9403848463284,519.5005563737279,0.5698924731182796,0.4838709677419355,,,622.7591321446178,0.5161290322580645,0.5217377860235003,0.3565217391304348,0.37734133478814325
18,0.5407608695652174,0.5969202898550725,1012.5726577704476,0.5032258064516129,3.0,1498.8764672743525,540.7361124001088,0.5698924731182796,0.43010752688172044,,,602.8215504627321,0.5139784946236559,0.47329329329329334,0.6391304347826087,0.49723450405803343
19,0.5423913043478261,0.5905797101449275,924.870959986303,0.5376344086021505,3.0,1518.0925419266466,655.3713340084307,0.6021505376344086,0.4838709677419355,,,652.1329584672067,0.5505376344086022,0.5695943240707375,0.5086956521739131,0.4774531554561266
