,Average AUC,Best AUC,Average Return,Average Accuracy,Lost Money Count,Best Return,Worst Return,Best Accuracy,Worst Accuracy,Return Range,Accuracy Range
89,0.5250566893424036,0.5289115646258504,1180.4489271324442,0.519047619047619,0.0,1217.4772311420247,1171.1918511300491,0.5476190476190477,0.5119047619047619,46.285380011975576,0.03571428571428581
90,0.5426303854875283,0.5481859410430839,1171.1918511300491,0.5119047619047619,0.0,1171.1918511300491,1171.1918511300491,0.5119047619047619,0.5119047619047619,0.0,0.0
91,0.5507936507936508,0.5629251700680272,1171.1918511300491,0.5119047619047619,0.0,1171.1918511300491,1171.1918511300491,0.5119047619047619,0.5119047619047619,0.0,0.0
92,0.5344671201814059,0.5442176870748299,1177.6572788408187,0.5166666666666666,0.0,1203.518989683896,1171.1918511300491,0.5357142857142857,0.5119047619047619,32.32713855384691,0.023809523809523836
93,0.5354875283446712,0.5430839002267573,1170.1261677331142,0.5166666666666666,0.0,1203.518989683896,1133.5362955915273,0.5357142857142857,0.5119047619047619,69.98269409236877,0.023809523809523836
94,0.5443310657596372,0.5538548752834467,1177.4813280986361,0.5142857142857142,0.0,1202.6392359729846,1171.1918511300491,0.5238095238095238,0.5119047619047619,31.447384842935435,0.011904761904761973
95,0.5437641723356009,0.5561224489795918,1170.1468932310404,0.5071428571428571,0.0,1277.8354922053602,1075.1042749640146,0.5238095238095238,0.47619047619047616,202.73121724134558,0.04761904761904767
96,0.5770975056689343,0.5878684807256236,1117.6851246502488,0.5142857142857142,0.0,1171.1918511300491,1019.9678624931139,0.5357142857142857,0.5,151.22398863693525,0.0357142857142857
97,0.551360544217687,0.5719954648526078,1171.1918511300491,0.5119047619047619,0.0,1171.1918511300491,1171.1918511300491,0.5119047619047619,0.5119047619047619,0.0,0.0
98,0.5557823129251702,0.5708616780045351,1165.7899207034052,0.5119047619047619,0.0,1171.1918511300491,1144.182198996829,0.5119047619047619,0.5119047619047619,27.009652133220243,0.0
99,0.5348072562358277,0.5651927437641724,1101.6663490283058,0.4976190476190475,1.0,1202.6392359729846,836.8594936375338,0.5238095238095238,0.42857142857142855,365.7797423354508,0.09523809523809529
100,0.5800453514739228,0.6439909297052155,962.5493197414675,0.45,3.0,1062.3276505071938,846.2606867512355,0.47619047619047616,0.44047619047619047,216.06696375595823,0.0357142857142857
101,0.5571428571428572,0.5816326530612245,989.867998658309,0.46904761904761905,3.0,1223.8328316941675,836.8594936375338,0.5238095238095238,0.42857142857142855,386.9733380566337,0.09523809523809529
102,0.5481859410430838,0.5657596371882085,1125.7337669844587,0.5023809523809524,1.0,1241.1947700793453,951.2100106487217,0.5238095238095238,0.4642857142857143,289.9847594306236,0.059523809523809534
103,0.5732426303854876,0.604875283446712,1127.8037058623079,0.47857142857142854,2.0,1396.920735290068,846.2606867512355,0.5238095238095238,0.44047619047619047,550.6600485388325,0.08333333333333337
104,0.5327664399092971,0.5844671201814059,1284.7589251016134,0.5261904761904762,0.0,1444.2601564927902,1057.3822871770499,0.5952380952380952,0.47619047619047616,386.8778693157403,0.11904761904761907
105,0.5980725623582768,0.6264172335600907,1251.971005925957,0.5142857142857143,2.0,1842.095970717971,836.8594936375338,0.6547619047619048,0.42857142857142855,1005.2364770804373,0.22619047619047622
106,0.6159863945578231,0.6615646258503401,1225.5427318334137,0.530952380952381,2.0,1649.6436273655186,857.5683556664213,0.6071428571428571,0.44047619047619047,792.0752716990972,0.16666666666666663
107,0.6097505668934241,0.6519274376417233,1074.3287719791365,0.47619047619047616,2.0,1323.0794633760543,864.637314556321,0.5238095238095238,0.44047619047619047,458.44214881973323,0.08333333333333337
108,0.6109977324263038,0.6604308390022675,1286.4929995573195,0.5261904761904762,0.0,1803.350348255042,1089.7154748732812,0.5714285714285714,0.5,713.6348733817608,0.0714285714285714
109,0.580498866213152,0.6167800453514739,1296.9545171694344,0.5214285714285714,0.0,1523.929791040322,1216.6812360674546,0.5476190476190477,0.47619047619047616,307.2485549728674,0.07142857142857151
110,0.5959183673469388,0.6303854875283448,1226.0660767417514,0.5071428571428572,2.0,2087.7655995568734,847.2894904686983,0.5952380952380952,0.4642857142857143,1240.4761090881752,0.13095238095238093
111,0.5557823129251701,0.5861678004535147,1306.6522055720247,0.5452380952380953,0.0,1510.1872225897832,1166.4294646856638,0.5714285714285714,0.5357142857142857,343.75775790411944,0.0357142857142857
112,0.6317460317460318,0.6848072562358277,1385.7686896220955,0.5523809523809524,0.0,1505.7121299358973,1277.8875572321078,0.5714285714285714,0.5357142857142857,227.8245727037895,0.0357142857142857
113,0.6187074829931973,0.6513605442176871,1103.8203443085358,0.4928571428571429,2.0,1319.6021135105975,864.3267782442482,0.5357142857142857,0.44047619047619047,455.2753352663493,0.09523809523809523
114,0.5789115646258503,0.6332199546485261,1181.2833190109493,0.5380952380952382,1.0,1564.7846259097869,874.0075323124088,0.6071428571428571,0.4642857142857143,690.7770935973781,0.1428571428571428
115,0.5878684807256236,0.628684807256236,1116.910093197132,0.5071428571428571,2.0,1564.0472726466135,878.6015051507582,0.5833333333333334,0.4642857142857143,685.4457674958553,0.11904761904761907
116,0.5577097505668934,0.594671201814059,1341.3986348765477,0.5714285714285714,0.0,1768.312744672946,1088.513754695384,0.6071428571428571,0.5476190476190477,679.7989899775621,0.05952380952380942
117,0.5998866213151928,0.68140589569161,1278.260872267262,0.5452380952380953,0.0,1581.3162052894352,1085.5812660209144,0.6309523809523809,0.4880952380952381,495.73493926852075,0.14285714285714285
118,0.5615646258503401,0.5804988662131519,1189.457999587793,0.5261904761904761,0.0,1487.272360667307,1065.181480356113,0.5476190476190477,0.5119047619047619,422.09088031119404,0.03571428571428581
119,0.5552154195011337,0.6077097505668934,1155.3084701456496,0.5166666666666666,0.0,1319.9346309436844,1004.3351789290981,0.5714285714285714,0.4880952380952381,315.5994520145863,0.08333333333333331
120,0.5714285714285714,0.5969387755102041,1112.1560729732346,0.5071428571428571,3.0,1686.2236979309312,834.521280025495,0.5833333333333334,0.4523809523809524,851.7024179054362,0.130952380952381
121,0.5187074829931972,0.5719954648526078,1290.6742186687409,0.5214285714285715,0.0,1619.9239311164542,1033.4744169277074,0.5833333333333334,0.47619047619047616,586.4495141887469,0.1071428571428572
