date,open,high,low,close,Volume USDT
2022-04-15 04:00:00,40180.10,40247.60,40034.20,40082.10,250000000.00000
2022-04-15 03:00:00,39991.80,40193.30,39972.10,40180.10,250000000.00000
2022-04-15 02:00:00,39920.00,40050.00,39879.90,39991.90,150000000.00000
2022-04-15 01:00:00,39835.90,39957.00,39804.40,39919.90,183627400.00000
2022-04-15 00:00:00,39915.90,40250.00,39871.60,39994.40,291622347.84474
2022-04-14 23:00:00,39822.80,39923.90,39800.00,39915.90,124721831.80610
2022-04-14 22:00:00,39942.20,39994.40,39773.40,39822.90,224066847.19969
2022-04-14 21:00:00,39887.60,39976.40,39831.00,39942.20,224910038.11436
2022-04-14 20:00:00,39752.70,39891.50,39633.90,39887.60,344496222.79220
2022-04-14 19:00:00,39637.30,39834.60,39522.00,39752.60,432235910.26436
2022-04-14 18:00:00,39956.30,40000.00,39600.00,39637.40,511721966.70306
2022-04-14 17:00:00,39929.10,40035.00,39810.10,39956.30,501504256.23683
2022-04-14 16:00:00,39943.20,40054.50,39750.10,39929.20,848071542.97159
2022-04-14 15:00:00,40415.00,40473.00,39908.00,39943.20,1019070011.93832
2022-04-14 14:00:00,40586.30,40647.50,40268.00,40418.20,1216433931.94935
2022-04-14 13:00:00,41125.00,41288.00,40500.00,40586.20,1346661702.67447
2022-04-14 12:00:00,40913.50,41170.60,40854.60,41125.00,435836667.45395
2022-04-14 11:00:00,40929.80,41059.80,40822.70,40913.50,362953502.13364
2022-04-14 10:00:00,41167.00,41208.80,40922.00,40929.90,334506193.35334
2022-04-14 09:00:00,41158.30,41206.10,40936.70,41166.90,553046606.98898
2022-04-14 08:00:00,41244.90,41310.00,41145.50,41158.20,241910738.98163
2022-04-14 07:00:00,41177.70,41348.00,41135.00,41245.00,279846603.43133
2022-04-14 06:00:00,41291.80,41316.80,41130.00,41177.70,238994248.26537
2022-04-14 05:00:00,41270.90,41329.00,41222.00,41291.80,135584507.77990
2022-04-14 04:00:00,41303.90,41393.60,41205.20,41271.00,201508073.50245
2022-04-14 03:00:00,41395.30,41437.80,41252.50,41303.90,196636247.08795
2022-04-14 02:00:00,41444.00,41452.50,41316.30,41395.30,253186527.30202
2022-04-14 01:00:00,41172.30,41474.80,41155.80,41444.10,322138434.43387
2022-04-14 00:00:00,41129.80,41249.00,41041.90,41172.30,268940906.19835
2022-04-13 23:00:00,41260.20,41320.00,41051.00,41129.80,333126715.84797
2022-04-13 22:00:00,41199.90,41388.00,41130.00,41260.30,272781059.32248
2022-04-13 21:00:00,41217.80,41320.50,41047.60,41200.00,231159017.87670
2022-04-13 20:00:00,41041.40,41305.60,40960.50,41217.90,381703299.48675
2022-04-13 19:00:00,41344.20,41580.00,41004.50,41041.50,641266809.60241
